JobNumber,JobDescription,Master_Controllers,Field_Controllers,Sensors,Panels,Software,Computers,HO02,HO03,HO04,HO05,HO06,HO07,HO08,HO09,HO10,HO11,HO12
222300B,30 Rock  Top of Rock Redevelop,989.02,2682.8199999999997,11715.88,431.32,0.0,0.0,5764.21,743.59,1891.72,10300.27,0.0,615.26,0.0,16342.17,11934.89,0.0,0.0
222400B,630 5th- 34th & 35th Floors,850.8,17563.0,21967.17,0.0,3704.46,0.0,2228.51,1005.65,9552.0,17692.22,0.0,1448.74,0.0,11198.24,0.0,0.0,0.0
222500B,124 E 14th St BMSWorkstation,0.0,0.0,0.0,0.0,612.22,0.9523937499999999,0.0,0.0,580.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222600B,30 Rock Ice Plant/Chiller,0.0,0.0,344.95,0.0,0.0,0.0,984.13,0.0,9711.57,3001.92,0.0,0.0,0.0,7512.63,0.0,0.0,0.0
222700B,SGU Marion Hall BMS Parts Only,0.0,197.0,0.0,79.89,0.0,0.0,708.47,513.36,0.0,1207.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222800B,Payson House Cooling Tower Rep,0.0,0.0,35934.69,0.0,0.0,0.0,7051.15,496.48,19161.21,10895.09,0.0,0.0,0.0,10219.53,0.0,0.0,0.0
222900B,HSS Fan Wall Conversion,0.0,0.0,41.33,0.0,0.0,0.0,552.6,0.0,1426.54,2121.93,0.0,0.0,0.0,0.0,2168.12,0.0,2656.89
223000B,1048 5th Ave Neue Galerie,603.86,2067.8599999999997,4272.93,0.0,2274.19,0.0,2319.84,1177.2,10411.89,3351.7,0.0,953.72,0.0,5757.29,11069.88,0.0,0.0
223100B,300 E. 83rd St.,0.0,0.0,3920.67,0.0,0.0,0.0,9529.16,1317.55,0.0,20259.69,0.0,0.0,0.0,712.22,22901.74,0.0,0.0
223200B,Estee Lauder Makeup Lab,13051.7,7234.72,18938.09,977.8,11543.61,0.0,3120.11,4143.01,16488.61,15112.9,0.0,0.0,0.0,12853.85,3697.61,0.0,0.0
223300B,11 W 42nd Cooling Twr Retrofit,6843.66,0.0,762.44,0.0,0.0,0.0,2210.37,0.0,3250.0,5121.5,0.0,0.0,0.0,5500.85,924.76,0.0,0.0
223500B,HSS River Terrace X Ray Suite,0.0,0.0,0.0,0.0,933.43,0.0,3800.22,304.73,1805.36,3598.05,0.0,0.0,0.0,1490.94,0.0,0.0,0.0
223600B,32 Old Slip BMS Upgrade-Cncld,-9479.29,8543.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223700B,477 Madison 15th Floor,0.0,0.0,3659.0,0.0,0.0,0.0,527.35,0.0,2031.04,2906.87,0.0,0.0,0.0,2174.35,2380.94,0.0,0.0
223800B,80 Pine 36th Fl Leak Detection,0.0,0.0,24.78,0.0,0.0,0.0,0.0,0.0,0.0,1551.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223900B,107 Greenwich Trinity 25th Fl,611.93,7044.93,2698.52,0.0,570.77,0.0,3268.51,0.0,1253.74,1043.7,0.0,0.0,0.0,2515.8,1593.4,0.0,0.0
224000B,499 Park American Realty Fl 26,0.0,6412.82,3695.21,0.0,301.52,0.0,1729.45,573.61,3540.83,4892.07,0.0,0.0,0.0,2470.12,0.0,0.0,0.0
224100B,11W42 M Kors Fl 23 Exhaust Fan,0.0,0.0,0.0,0.0,0.0,0.0,252.88,0.0,0.0,0.0,0.0,0.0,0.0,368.72,0.0,0.0,0.0
224300B,250 W 57 Wellness Amenity,0.0,2829.7300000000005,5423.76,270.66,0.0,0.0,3764.98,264.74,9067.94,8529.36,0.0,0.0,0.0,4327.07,7624.21,0.0,0.0
224400B,11 W 42nd - 2023 AHU Upgrade,17931.21,9601.37,6565.9400000000005,0.0,0.0,0.0,1968.26,4996.53,4474.2,8427.17,0.0,0.0,1409.18,38226.16,32437.2,0.0,0.0
224500B,Mt Sinai CAM Condensate Meters,0.0,0.0,0.0,0.0,0.0,0.0,919.55,0.0,1720.96,1039.26,0.0,0.0,0.0,1807.49,3227.68,0.0,0.0
224600B,335 Madison 27th Fl MERs,605.54,5203.9,16697.809999999998,0.0,0.0,0.0,2213.91,980.49,2954.33,3857.87,0.0,0.0,0.0,5209.35,13976.71,0.0,0.0
224700B,11 W 42nd St Fl 18-19 Burberry,560.45,7572.96,3104.0299999999997,0.0,0.0,0.0,453.83,0.0,4124.68,11704.08,0.0,0.0,0.0,588.0,0.0,0.0,0.0
224800B,UBS - 14th floor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.83,0.0,0.0,0.0,0.0,501.38,0.0,0.0,0.0
224900B,200Park Lobby Dehumidification,0.0,0.0,0.0,0.0,0.0,0.0,331.56,0.0,620.9,2153.51,0.0,0.0,0.0,905.23,0.0,0.0,0.0
225000B,Washington Prim Boiler Replace,0.0,480.97,636.43,0.0,0.0,0.0,834.96,691.44,2649.87,4492.38,0.0,0.0,0.0,1939.04,6606.95,0.0,389.39
225100B,1959 University - RTU Controls,0.0,0.0,549.08,0.0,0.0,0.0,0.0,0.0,0.0,1971.12,0.0,0.0,0.0,1002.75,0.0,0.0,0.0
225300B,1270 AOA Suite 210,850.8,3666.3,265.15,0.0,1179.53,0.0,1005.55,264.75,615.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225400B,16 E 16St -Gramercy Park Hotel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225500B,909 3rd Ave 14th Floor,0.0,0.0,0.0,111.35,252.6,0.0,175.79,176.49,1394.31,2914.1,0.0,0.0,0.0,1429.75,0.0,0.0,0.0
225600B,Packer Collegiate Colab & Offi,522.84,0.0,1471.8700000000001,0.0,889.67,0.0,1797.46,0.0,1478.63,7121.11,0.0,0.0,0.0,2696.86,8187.69,0.0,0.0
225700B,HSS S-9 S-10 Controls,0.0,0.0,0.0,0.0,0.0,0.0,1008.76,0.0,496.15,2414.11,0.0,0.0,0.0,1385.28,551.55,0.0,0.0
225800B,HSS Belaire 8th Fl AC Units,0.0,0.0,1094.52,0.0,0.0,0.0,442.08,0.0,0.0,1939.51,0.0,0.0,0.0,3645.79,0.0,0.0,0.0
225900B,55 Water 2MER Brain DHW,0.0,0.0,0.0,0.0,0.0,0.0,373.32,0.0,1565.15,629.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226000B,20 W 40St Bryant Pk BTU Meters,0.0,0.0,10.44,0.0,0.0,0.0,0.0,0.0,992.3,343.78,0.0,0.0,0.0,1253.44,0.0,0.0,0.0
226100B,410 W 126St Columbia Int,0.0,0.0,0.0,0.0,0.0,0.0,19992.08,0.0,0.0,779.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226300B,30 Rock Plaza 20th Floor,0.0,13923.58,7459.06,0.0,0.0,0.0,3919.73,175.43,6896.6,8616.21,0.0,0.0,0.0,5626.39,935.73,0.0,0.0
226400B,11 W 42nd La Botaniste Lk Det,0.0,0.0,2930.13,0.0,0.0,0.0,1197.38,233.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226500B,Joele Frank - 18th & 19th fl,2321.06,37071.57,54027.73999999999,0.0,0.0,0.0,7431.38,2986.57,16031.34,15161.21,0.0,0.0,0.0,17231.85,3151.46,0.0,0.0
226600B,Mt Sinai S-50 Controller Rep,557.46,1587.59,227.19,0.0,0.0,0.0,2121.38,0.0,1554.14,4350.77,0.0,0.0,0.0,3888.17,662.9,0.0,0.0
226700B,600 Lex Fl 26 Capital Crossing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226800B,SGU Charter & Marion Hall upgr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13187.14,10902.38,0.0,0.0,0.0,13248.92,0.0,0.0,0.0
226900B,SGU Superdorm 6 BMS upgr Labor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12053.53,18392.57,0.0,0.0,0.0,1059.41,0.0,0.0,0.0
227000B,Trinity VAV Retrofit-17&21 Fls,5659.42,8368.11,2766.6,0.0,306.52,0.0,0.0,0.0,1253.65,1007.23,0.0,0.0,0.0,2419.6,1325.22,0.0,0.0
227300B,31-32 Union St Library Grnd Fl,0.0,0.0,724.23,0.0,0.0,0.0,695.42,0.0,748.61,3505.34,0.0,0.0,0.0,1469.42,2583.11,0.0,0.0
227400B,1 Java,0.0,0.0,0.0,0.0,0.0,0.0,59162.19,0.0,0.0,6946.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227600B,1057 Atlantic Ave,0.0,0.0,0.0,0.0,0.0,0.0,22294.22,0.0,0.0,6516.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227700B,Alchemy Zero Irving 10th Floor,0.0,0.0,974.96,0.0,0.0,0.0,2177.49,441.24,1115.15,2568.76,0.0,0.0,0.0,6765.14,9360.73,0.0,670.96
227800B,Rudin - 4th & 29th floors,0.0,0.0,0.0,0.0,0.0,0.0,812.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227900B,SAVA GSA - 5th floor,3135.04,18039.8,29387.11,42.02,308.93,0.0,2299.42,1198.66,31402.04,22237.82,0.0,0.0,0.0,14068.31,3406.38,0.0,0.0
228100B,TS 30 Rock 22-23 Inter space,2815.0,4321.9,14978.58,709.39,1012.17,0.0,5415.9,3177.88,4378.8,17611.92,0.0,0.0,0.0,5075.55,3687.69,0.0,0.0
228200B,Publicis Grp - Walmart 13th fl,0.0,0.0,0.0,0.0,0.0,0.0,702.33,0.0,995.3,376.53,0.0,0.0,0.0,0.0,1625.2,0.0,0.0
228400B,500 Park Ave. Storefront,0.0,0.0,31.07,0.0,0.0,0.0,352.99,0.0,0.0,2088.33,0.0,0.0,0.0,227.86,1731.86,0.0,0.0
228500B,WWP BTU Meters 19 & 23,0.0,0.0,0.0,0.0,0.0,0.0,231.71,0.0,0.0,3675.42,0.0,0.0,0.0,1038.34,0.0,0.0,0.0
228600B,IBM Fuel Tank replacement,0.0,0.0,0.0,0.0,185.73,0.0,1186.64,0.0,2719.21,2372.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228700B,HSS - 5th fl MRI Chiller,0.0,0.0,110.53999999999999,0.0,933.43,0.0,175.79,174.4,1062.88,2976.03,0.0,0.0,0.0,1437.97,1637.21,0.0,0.0
228800B,HSS - S-9 &S10 after hrs test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.12,0.0,0.0,0.0,732.85,0.0,0.0,0.0
229000B,Jerome Stevens BMS Expansion,626.7,1770.9,7149.75,811.99,4439.96,0.0,9178.97,3073.6,13633.29,11688.79,0.0,0.0,0.0,594.92,30552.21,0.0,9092.89
229200B,Packer Collegiate - Garden Hou,625.92,12988.78,8198.2,0.0,0.0,0.0,3967.42,0.0,0.0,1468.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229300B,SGU-Taylor Hall Chiller(Parts),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229400B,40 W 57St  Valve Actuator Rep,0.0,0.0,33740.4,0.0,0.0,0.0,0.0,0.0,1253.26,2591.66,0.0,0.0,0.0,0.0,786.3,0.0,0.0
229500B,40 W 57St Cool Tower Valve Rep,0.0,0.0,79467.15,0.0,0.0,0.0,0.0,0.0,3330.23,4551.97,0.0,0.0,0.0,777.38,5535.26,0.0,0.0
229600B,1700 B'way Flr Damper Controls,0.0,2573.81,3442.43,1535.06,0.0,0.0,1650.79,1306.71,4617.78,5897.48,0.0,0.0,0.0,2487.0,11256.94,0.0,0.0
229700B,1700 Bway Fl27 Fan Pressure,0.0,0.0,0.0,0.0,0.0,0.0,353.01,0.0,0.0,632.11,0.0,0.0,0.0,1684.93,4003.14,0.0,0.0
230000B,Milstein Properties  26th fl,605.55,5185.47,7218.590000000001,532.04,0.0,0.0,1882.51,1623.47,748.61,3565.17,0.0,0.0,0.0,4765.94,12647.42,0.0,0.0
230100B,Lifetime Fitness Bklyn crossin,0.0,0.0,19113.17,736.7,0.0,0.0,3069.14,2843.18,0.0,28084.18,0.0,1364.89,0.0,20776.9,3949.8,0.0,259.58
230200B,City Spire 7th  &20th flrs,0.0,5133.2,2127.26,0.0,0.0,0.0,1411.88,88.26,2077.46,5147.25,0.0,0.0,0.0,2976.24,4791.72,0.0,0.0
